,time,code,open,high,low,close,volume
156,2012-08-24,000300.XSHG,2295.68,2299.3,2274.57,2275.68,3186959100.0
157,2012-08-27,000300.XSHG,2268.49,2268.49,2228.15,2228.2,3738619100.0
158,2012-08-28,000300.XSHG,2226.9,2250.6,2222.0,2238.41,3377361500.0
159,2012-08-29,000300.XSHG,2230.2,2240.11,2214.43,2214.81,2901064800.0
160,2012-08-30,000300.XSHG,2204.51,2223.2,2188.72,2211.37,3549131000.0
161,2012-08-31,000300.XSHG,2205.57,2218.87,2203.12,2204.87,2596498600.0
162,2012-09-03,000300.XSHG,2201.12,2236.56,2197.71,2228.37,3854859200.0
163,2012-09-04,000300.XSHG,2231.72,2234.88,2199.51,2204.41,3485268800.0
164,2012-09-05,000300.XSHG,2199.74,2209.54,2186.96,2199.88,3475182400.0
165,2012-09-06,000300.XSHG,2204.44,2218.68,2199.86,2217.82,3169588400.0
166,2012-09-07,000300.XSHG,2233.91,2341.52,2233.91,2317.18,9452976400.0
167,2012-09-10,000300.XSHG,2320.56,2334.5,2313.57,2326.67,6533055400.0
168,2012-09-11,000300.XSHG,2316.53,2316.53,2294.82,2311.89,4626071900.0
169,2012-09-12,000300.XSHG,2325.93,2337.2,2298.3,2320.07,4962251800.0
170,2012-09-13,000300.XSHG,2316.68,2325.53,2298.37,2298.46,4204984900.0
171,2012-09-14,000300.XSHG,2324.01,2332.42,2298.83,2315.54,6157181400.0
172,2012-09-17,000300.XSHG,2312.05,2314.99,2258.18,2258.7,4898473400.0
173,2012-09-18,000300.XSHG,2249.43,2253.14,2228.04,2235.24,3322869600.0
174,2012-09-19,000300.XSHG,2237.22,2249.24,2229.49,2246.24,3434970600.0
175,2012-09-20,000300.XSHG,2236.19,2236.19,2194.22,2195.95,4254577900.0
176,2012-09-21,000300.XSHG,2190.33,2217.47,2186.53,2199.06,3812059300.0
177,2012-09-24,000300.XSHG,2183.97,2225.8,2172.88,2215.52,3750168600.0
178,2012-09-25,000300.XSHG,2209.97,2225.33,2202.38,2210.15,2787701900.0
179,2012-09-26,000300.XSHG,2208.91,2216.82,2181.08,2184.89,2745462600.0
180,2012-09-27,000300.XSHG,2186.0,2266.3,2185.77,2251.72,5301690000.0
181,2012-09-28,000300.XSHG,2235.06,2297.03,2234.32,2293.11,5787582500.0
182,2012-10-08,000300.XSHG,2291.96,2305.18,2258.11,2270.05,3553442400.0
183,2012-10-09,000300.XSHG,2281.75,2327.73,2281.75,2320.16,5254888700.0
184,2012-10-10,000300.XSHG,2314.59,2325.75,2304.61,2324.12,4268623800.0
185,2012-10-11,000300.XSHG,2315.9,2321.35,2300.93,2302.53,4130065500.0
186,2012-10-12,000300.XSHG,2311.28,2332.15,2287.01,2304.53,3687414500.0
187,2012-10-15,000300.XSHG,2306.01,2307.88,2278.46,2294.86,2865174600.0
188,2012-10-16,000300.XSHG,2293.24,2315.45,2287.59,2298.16,3205967900.0
189,2012-10-17,000300.XSHG,2307.36,2312.17,2280.82,2300.8,3334940900.0
190,2012-10-18,000300.XSHG,2307.49,2341.12,2305.88,2336.08,5061510000.0
191,2012-10-19,000300.XSHG,2335.11,2342.53,2328.73,2332.47,3592773200.0
192,2012-10-22,000300.XSHG,2320.47,2347.89,2315.89,2341.59,3436828600.0
193,2012-10-23,000300.XSHG,2340.89,2344.04,2309.25,2312.08,3722127200.0
194,2012-10-24,000300.XSHG,2303.4,2321.43,2302.17,2307.78,3754244500.0
195,2012-10-25,000300.XSHG,2306.73,2322.92,2288.6,2291.24,4435153100.0
196,2012-10-26,000300.XSHG,2291.31,2293.18,2237.06,2247.91,4090051900.0
197,2012-10-29,000300.XSHG,2241.8,2248.14,2227.65,2235.85,2758132500.0
198,2012-10-30,000300.XSHG,2236.32,2257.95,2231.78,2239.88,3408312500.0
199,2012-10-31,000300.XSHG,2241.43,2256.09,2233.68,2254.82,3716979500.0
200,2012-11-01,000300.XSHG,2256.61,2305.63,2256.41,2297.88,5076172900.0
201,2012-11-02,000300.XSHG,2297.9,2309.67,2284.72,2306.77,3983328800.0
202,2012-11-05,000300.XSHG,2302.74,2318.23,2290.14,2301.88,3951037200.0
203,2012-11-06,000300.XSHG,2301.98,2304.05,2260.51,2292.21,3928062700.0
204,2012-11-07,000300.XSHG,2288.76,2300.89,2277.02,2287.51,3306740300.0
205,2012-11-08,000300.XSHG,2269.58,2275.4,2245.4,2245.41,3542647500.0
206,2012-11-09,000300.XSHG,2241.76,2252.2,2235.23,2240.92,3050696800.0
207,2012-11-12,000300.XSHG,2242.96,2254.7,2232.74,2251.85,3472168500.0
208,2012-11-13,000300.XSHG,2250.84,2250.84,2208.72,2212.44,3408370400.0
209,2012-11-14,000300.XSHG,2213.09,2225.12,2206.0,2223.11,2675879000.0
210,2012-11-15,000300.XSHG,2210.75,2220.99,2193.52,2193.62,2831915100.0
211,2012-11-16,000300.XSHG,2189.51,2191.61,2162.98,2177.24,3024778600.0
212,2012-11-19,000300.XSHG,2175.18,2176.49,2149.54,2174.99,2697866600.0
213,2012-11-20,000300.XSHG,2180.2,2184.33,2163.53,2164.88,2394891600.0
214,2012-11-21,000300.XSHG,2165.41,2195.46,2151.38,2194.9,3050848200.0
215,2012-11-22,000300.XSHG,2181.18,2185.58,2169.66,2177.55,2291235100.0
216,2012-11-23,000300.XSHG,2184.41,2202.47,2179.73,2192.68,2866749300.0
217,2012-11-26,000300.XSHG,2187.24,2191.36,2172.1,2175.6,2474269600.0
218,2012-11-27,000300.XSHG,2168.59,2173.46,2150.22,2150.64,3194674600.0
219,2012-11-28,000300.XSHG,2142.5,2144.8,2126.03,2129.16,3000933900.0
220,2012-11-29,000300.XSHG,2128.8,2140.88,2114.48,2115.68,2967062500.0
221,2012-11-30,000300.XSHG,2114.24,2142.86,2109.96,2139.66,3640691100.0
222,2012-12-03,000300.XSHG,2136.7,2152.61,2108.15,2108.85,4018676200.0
223,2012-12-04,000300.XSHG,2104.93,2135.66,2102.14,2131.47,3622591500.0
224,2012-12-05,000300.XSHG,2128.39,2219.09,2126.79,2207.88,8248710300.0
225,2012-12-06,000300.XSHG,2205.61,2216.98,2191.23,2203.6,4857468900.0
226,2012-12-07,000300.XSHG,2203.89,2250.53,2198.11,2246.76,7616974800.0
227,2012-12-10,000300.XSHG,2254.91,2276.28,2250.44,2271.05,7337547500.0
